Player,Min,ETV
Aaron Ramsdale,2340.0,€18.7M
Aaron Wan-Bissaka,2794.0,€26.9M
Abdoulaye Doucouré,2425.0,€5.8M
Adam Armstrong,1248.0,€15.1M
Adam Smith,1409.0,€1.5M
Adam Wharton,1258.0,€48.9M
Adama Traoré,1568.0,€8M
Alejandro Garnacho,2056.0,€60.7M
Alex Iwobi,2721.0,€30.3M
Alexander Isak,2487.0,€120.3M
Alexis Mac Allister,2553.0,€106.1M
Alisson,2148.0,€24.1M
Alphonse Areola,1990.0,€11.8M
Amad Diallo,1594.0,€48.5M
Amadou Onana,1348.0,€62.1M
Andreas Pereira,1879.0,€19M
Andrew Robertson,2308.0,€24M
André,2170.0,€29.8M
André Onana,2970.0,€34.2M
Anthony Elanga,2052.0,€45.5M
Anthony Gordon,2200.0,€49.5M
Antoine Semenyo,2907.0,€47.7M
Antonee Robinson,2899.0,€46.4M
Archie Gray,1391.0,€58.2M
Arijanet Muric,1620.0,€10.1M
Ashley Young,1613.0,€1.3M
Axel Tuanzebe,1445.0,€4.2M
Bart Verbruggen,2880.0,€30.7M
Ben Davies,1036.0,€5.6M
Ben Johnson,1348.0,€12.6M
Bernardo Silva,2311.0,€50M
Bernd Leno,3060.0,€13.7M
Beto,1192.0,€24.4M
Bilal El Khannouss,1920.0,€40.6M
Boubacar Kamara,1373.0,€46.3M
Boubakary Soumaré,1953.0,€15.4M
Brennan Johnson,2083.0,€71.3M
Bruno Fernandes,2758.0,€54.8M
Bruno Guimarães,2912.0,€83.2M
Bryan Mbeumo,2964.0,€57.2M
Bukayo Saka,1454.0,€101.3M
Caleb Okoli,1124.0,€16.7M
Callum Hudson-Odoi,2107.0,€30.2M
Calvin Bassey,2804.0,€29.9M
Cameron Archer,1361.0,€18.6M
Cameron Burgess,1361.0,€1.7M
Carlos Baleba,2313.0,€52.4M
Carlos Soler,1347.0,€23.4M
Casemiro,1335.0,€11.6M
Chris Richards,1562.0,€15.7M
Chris Wood,2509.0,€7.8M
Christian Eriksen,994.0,€4.2M
Christian Nørgaard,2369.0,€14.4M
Christopher Nkunku,921.0,€51.7M
Cody Gakpo,1627.0,€67.5M
Cole Palmer,2831.0,€115.4M
Conor Coady,1354.0,€2.2M
Craig Dawson,971.0,€1.5M
Cristian Romero,1416.0,€60.1M
Curtis Jones,1438.0,€61.7M
Daichi Kamada,1338.0,€14.6M
Dan Burn,2970.0,€9.1M
Dango Ouattara,1932.0,€28.5M
Daniel Muñoz,2868.0,€30.9M
Danny Welbeck,1852.0,€6M
Dara O'Shea,2762.0,€19.5M
Darwin Núñez,1018.0,€60.9M
David Raya,3060.0,€28.9M
Dean Henderson,3060.0,€22.7M
Dean Huijsen,2144.0,€55M
Declan Rice,2572.0,€107.8M
Dejan Kulusevski,2281.0,€60.5M
Destiny Udogie,1834.0,€59.4M
Diogo Dalot,2788.0,€37.4M
Diogo Jota,1097.0,€58.6M
Djed Spence,1514.0,€19.8M
Dominic Calvert-Lewin,1574.0,€17.8M
Dominic Solanke,2119.0,€52.1M
Dominik Szoboszlai,2257.0,€71.4M
Dwight McNeil,1185.0,€27M
Eberechi Eze,2337.0,€62.2M
Ederson,1960.0,€19.1M
Edson Álvarez,1633.0,€36.5M
Elliot Anderson,2317.0,€46.5M
Emerson Palmieri,2015.0,€12.6M
Emile Smith Rowe,1852.0,€40.8M
Emiliano Martínez,2880.0,€17.5M
Emmanuel Agbadou,1050.0,€18M
Enzo Fernández,2590.0,€73.7M
Erling Haaland,2480.0,€198.8M
Ethan Pinnock,1913.0,€7.6M
Evanilson,1972.0,€26.9M
Ezri Konsa,2576.0,€42.7M
Fabian Schär,2575.0,€11M
Facundo Buonanotte,1474.0,€30.7M
Flynn Downes,1791.0,€9.2M
Gabriel Magalhães,2363.0,€75.5M
Gabriel Martinelli,1956.0,€62.6M
Georginio Rutter,1656.0,€41.3M
Guglielmo Vicario,1980.0,€41.6M
Guido Rodríguez,1018.0,€13.6M
Harry Maguire,1483.0,€13.7M
Harry Wilson,937.0,€14.5M
Harry Winks,1538.0,€11.4M
Harvey Barnes,1413.0,€41.5M
Ibrahima Konaté,2320.0,€57.2M
Idrissa Gana Gueye,2705.0,€5M
Igor,903.0,€25M
Iliman Ndiaye,2162.0,€25.7M
Illia Zabarnyi,2752.0,€58.8M
Ismaila Sarr,2392.0,€25.7M
Issa Diop,1339.0,€17.9M
Jack Clarke,1033.0,€19.4M
Jack Harrison,1887.0,€17.7M
Jack Hinshelwood,1676.0,€9.2M
Jack Stephens,1164.0,€1.4M
Jacob Greaves,1845.0,€25.1M
Jacob Murphy,2084.0,€17.9M
Jacob Ramsey,1485.0,€45.8M
Jadon Sancho,1668.0,€37.7M
Jake O'Brien,1301.0,€19.7M
James Garner,1234.0,€23.2M
James Justin,2579.0,€17M
James Maddison,1809.0,€58.1M
James Tarkowski,2922.0,€11.8M
Jamie Vardy,2571.0,€1M
Jan Bednarek,2351.0,€12.9M
Jan Paul van Hecke,2598.0,€42.4M
Jannik Vestergaard,1391.0,€2M
Jarrad Branthwaite,2258.0,€32.2M
Jarrod Bowen,2631.0,€48.1M
Jean-Clair Todibo,1485.0,€36M
Jean-Philippe Mateta,2442.0,€31.7M
Jean-Ricner Bellegarde,1486.0,€21.3M
Jefferson Lerma,2030.0,€13.6M
Jens Cajuste,1774.0,€15.5M
Jeremy Doku,1307.0,€66.2M
Jesper Lindstrøm,1239.0,€24.4M
Joachim Andersen,2223.0,€31.4M
Joe Aribo,1909.0,€6.9M
Joe Willock,953.0,€35.8M
Joelinton,2393.0,€47.5M
John McGinn,1992.0,€22.5M
Jordan Ayew,1356.0,€4.2M
Jordan Pickford,3060.0,€22.6M
Joshua Zirkzee,1402.0,€43.7M
José Sá,2340.0,€8.5M
João Gomes,2691.0,€51.1M
João Pedro,1948.0,€61.3M
Joël Veltman,1643.0,€5.7M
Joško Gvardiol,2917.0,€78.7M
Jurriën Timber,2417.0,€65.5M
Justin Kluivert,2097.0,€44.8M
Jørgen Strand Larsen,2463.0,€30.8M
Kai Havertz,1839.0,€70.5M
Kalvin Phillips,1214.0,€17.2M
Kamaldeen Sulemana,1122.0,€18.5M
Kaoru Mitoma,2521.0,€50.6M
Keane Lewis-Potter,2714.0,€27.1M
Kenny Tete,1438.0,€14M
Kepa Arrizabalaga,2430.0,€12M
Kevin De Bruyne,1455.0,€20.1M
Kevin Schade,1931.0,€29.7M
Kieran Trippier,1192.0,€5.1M
Kobbie Mainoo,1416.0,€66M
Konstantinos Mavropanos,1944.0,€19.1M
Kristoffer Ajer,1388.0,€21.5M
Kyle Walker,970.0,€4.9M
Kyle Walker-Peters,2828.0,€16.6M
Leandro Trossard,2264.0,€31.8M
Leif Davis,2563.0,€28.2M
Leny Yoro,1069.0,€71M
Leon Bailey,1138.0,€39.2M
Lesley Ugochukwu,1447.0,€27M
Levi Colwill,2789.0,€56.6M
Lewis Cook,2726.0,€19.3M
Lewis Dunk,1993.0,€7.4M
Lewis Hall,2189.0,€34.5M
Liam Delap,2424.0,€37M
Lisandro Martínez,1751.0,€49.2M
Lucas Bergvall,1212.0,€32.6M
Lucas Digne,2241.0,€13.6M
Lucas Paquetá,2257.0,€71.2M
Luis Díaz,2225.0,€71M
Luke Woolfenden,1097.0,€2M
Mads Hermansen,2385.0,€19.8M
Mads Roerslev,1101.0,€71M
Malo Gusto,1819.0,€32.8M
Manuel Akanji,1711.0,€42.8M
Manuel Ugarte Ribeiro,1616.0,€60.4M
Marc Cucurella,2628.0,€39.4M
Marc Guéhi,2879.0,€54.2M
Marcos Senesi,1014.0,€20.4M
Marcus Tavernier,1580.0,€24.4M
Mario Lemina,1364.0,€5.2M
Mark Flekken,2825.0,€13.6M
Martin Ødegaard,2040.0,€126.5M
Mateo Kovačić,1960.0,€25.3M
Mateus Fernandes,2584.0,€22.5M
Matheus Cunha,2341.0,€62.6M
Matheus Nunes,1404.0,€42.3M
Matt Doherty,1901.0,€4.2M
Matthijs de Ligt,2089.0,€52.2M
Matty Cash,1710.0,€32.9M
Matz Sels,2970.0,€9.1M
Max Kilman,2988.0,€36.7M
Maxence Lacroix,2756.0,€27.7M
Micky van de Ven,950.0,€61.8M
Mikel Merino,1401.0,€40.5M
Mikkel Damsgaard,2495.0,€28.6M
Milos Kerkez,2987.0,€61.5M
Mohamed Salah,3011.0,€38.5M
Mohammed Kudus,2331.0,€61.7M
Moisés Caicedo,2991.0,€80.7M
Morgan Gibbs-White,2377.0,€61.7M
Morgan Rogers,2763.0,€69M
