Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Aaron Ramsdale,eng ENG,Southampton,GK,26-350,26.0,26.0,2340.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,N/a,0.0,N/a,N/a,1073.0,64.4,19407.0,99.5,95.9,0.0,32.0,1.0,0.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1154.0,835.0,1132.0,25.0,0.0,0.0,0.0,N/a,N/a,701.0,2092.0,0.0,0.0,0.0,2.0,0.0,628.0,0.0,1.0,4.0,0.0,0.0,19.0,5.0,100.0,71,€18.7M
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-154,32.0,31.0,2794.0,2.0,2.0,1.0,0.0,1.2,2.9,98.0,125.0,139.0,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.3,1575.0,81.1,18273.0,90.0,82.0,29.0,89.0,30.0,11.0,125.0,83.0,2.67,7.0,0.23,61.0,43.0,26.0,29.0,31.0,9.0,22.0,59.0,1960.0,136.0,620.0,838.0,531.0,40.0,101.0,53.5,34.7,933.0,3303.0,98.0,57.0,12.0,28.0,21.0,1135.0,139.0,22.0,24.0,4.0,64.0,155.0,22.0,43.1,72,€26.9M
Abdoulaye Doucouré,ml MLI,Everton,MF,32-118,30.0,29.0,2425.0,3.0,1.0,5.0,1.0,3.9,2.3,40.0,78.0,91.0,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,849.0,79.6,10229.0,85.1,83.1,26.0,44.0,14.0,0.0,78.0,54.0,2.0,2.0,0.07,45.0,27.0,39.0,43.0,30.0,6.0,24.0,9.0,1090.0,31.0,218.0,502.0,385.0,59.0,43.0,53.5,46.5,571.0,1339.0,40.0,24.0,8.0,33.0,35.0,705.0,91.0,46.0,5.0,10.0,23.0,139.0,29.0,40.3,72,€5.8M
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-078,20.0,15.0,1248.0,2.0,2.0,4.0,0.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,288.0,80.2,3320.0,87.3,85.3,9.0,10.0,8.0,2.0,21.0,19.0,1.37,4.0,0.29,12.0,3.0,14.0,9.0,6.0,1.0,5.0,3.0,377.0,11.0,44.0,143.0,192.0,49.0,14.0,42.9,57.1,235.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,12.0,5.0,9.0,14.0,23.0,5.0,35.7,72,€15.1M
Adam Smith,eng ENG,Bournemouth,DF,34-000,22.0,17.0,1409.0,0.0,0.0,6.0,0.0,0.7,0.3,12.0,40.0,31.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,576.0,75.7,7088.0,88.0,78.1,7.0,41.0,8.0,5.0,40.0,20.0,1.28,2.0,0.13,21.0,10.0,25.0,13.0,12.0,5.0,7.0,14.0,707.0,39.0,217.0,332.0,162.0,6.0,15.0,40.0,40.0,305.0,585.0,12.0,15.0,0.0,10.0,6.0,333.0,31.0,15.0,11.0,0.0,30.0,43.0,12.0,48.0,72,€1.5M
Adam Wharton,eng ENG,Crystal Palace,MF,20-331,19.0,15.0,1258.0,0.0,2.0,2.0,0.0,0.3,3.0,14.0,105.0,10.0,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.0,25.8,689.0,75.6,9826.0,82.1,80.6,25.0,73.0,18.0,5.0,105.0,56.0,4.01,6.0,0.43,34.0,14.0,43.0,16.0,10.0,2.0,8.0,18.0,827.0,27.0,196.0,439.0,198.0,10.0,10.0,20.0,80.0,413.0,1021.0,14.0,22.0,2.0,14.0,13.0,509.0,10.0,12.0,21.0,0.0,35.0,96.0,7.0,30.4,72,€48.9M
Adama Traoré,es ESP,Fulham,"FW,MF",29-094,32.0,16.0,1568.0,2.0,6.0,2.0,0.0,3.8,4.7,87.0,61.0,143.0,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,30.6,0.63,0.06,14.4,532.0,72.0,5972.0,81.2,73.4,37.0,32.0,32.0,17.0,61.0,73.0,4.19,9.0,0.52,17.0,12.0,13.0,25.0,7.0,0.0,7.0,1.0,725.0,4.0,74.0,258.0,415.0,86.0,88.0,50.0,37.5,483.0,2232.0,87.0,42.0,33.0,32.0,19.0,548.0,143.0,20.0,29.0,1.0,90.0,78.0,24.0,49.0,72,€8M
Alejandro Garnacho,ar ARG,Manchester Utd,"MF,FW",20-302,33.0,22.0,2056.0,5.0,1.0,2.0,0.0,7.0,3.6,134.0,54.0,274.0,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,1.23,0.06,17.1,759.0,79.1,8376.0,89.0,82.9,30.0,20.0,22.0,3.0,54.0,74.0,3.24,4.0,0.18,28.0,18.0,34.0,23.0,19.0,0.0,19.0,13.0,1078.0,13.0,120.0,340.0,636.0,164.0,85.0,30.6,60.0,783.0,3035.0,134.0,70.0,65.0,61.0,47.0,829.0,274.0,11.0,40.0,10.0,50.0,103.0,3.0,11.5,72,€60.7M
Alex Iwobi,ng NGA,Fulham,"FW,MF",28-361,34.0,32.0,2721.0,9.0,6.0,1.0,0.0,4.5,6.5,132.0,196.0,221.0,0.3,0.2,0.15,0.22,N/a,N/a,N/a,N/a,44.3,0.89,0.15,18.3,1394.0,74.4,17737.0,85.8,77.5,53.0,106.0,77.0,16.0,196.0,112.0,3.7,16.0,0.53,37.0,21.0,28.0,31.0,25.0,1.0,24.0,11.0,1693.0,31.0,225.0,678.0,815.0,107.0,86.0,48.8,45.3,1200.0,4024.0,132.0,99.0,37.0,54.0,38.0,1321.0,221.0,17.0,16.0,4.0,118.0,124.0,5.0,13.9,72,€30.3M
Alexander Isak,se SWE,Newcastle Utd,FW,25-220,31.0,31.0,2487.0,22.0,6.0,1.0,0.0,19.0,4.0,77.0,77.0,196.0,0.8,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,620.0,74.0,6537.0,83.2,77.5,38.0,32.0,26.0,1.0,77.0,85.0,3.08,14.0,0.51,12.0,5.0,12.0,48.0,18.0,2.0,16.0,3.0,933.0,20.0,54.0,348.0,545.0,175.0,88.0,47.7,50.0,558.0,1723.0,77.0,40.0,43.0,62.0,50.0,659.0,196.0,25.0,13.0,20.0,15.0,54.0,25.0,34.2,72,€120.3M
