Player,ETV_predicted,ETV_actual
Aaron Ramsdale,18.66,€18.7M
Aaron Wan-Bissaka,29.39,€26.9M
Abdoulaye Doucouré,21.26,€5.8M
Adam Armstrong,16.86,€15.1M
Adam Smith,7.79,€1.5M
Adam Wharton,36.74,€48.9M
Adama Traoré,31.55,€8M
Alejandro Garnacho,56.3,€60.7M
Alex Iwobi,46.04,€30.3M
Alexander Isak,110.62,€120.3M
Alexis Mac Allister,83.54,€106.1M
Alisson,19.2,€24.1M
Alphonse Areola,14.61,€11.8M
Amad Diallo,48.13,€48.5M
Amadou Onana,49.41,€62.1M
Andreas Pereira,24.92,€19M
Andrew Robertson,37.77,€24M
André,33.16,€29.8M
André Onana,27.87,€34.2M
Anthony Elanga,45.41,€45.5M
Anthony Gordon,56.66,€49.5M
Antoine Semenyo,49.59,€47.7M
Antonee Robinson,45.69,€46.4M
Archie Gray,46.82,€58.2M
Arijanet Muric,9.76,€10.1M
Ashley Young,5.74,€1.3M
Axel Tuanzebe,9.28,€4.2M
Bart Verbruggen,26.01,€30.7M
Ben Davies,11.02,€5.6M
Ben Johnson,13.35,€12.6M
Bernardo Silva,55.1,€50M
Bernd Leno,17.76,€13.7M
Beto,25.22,€24.4M
Bilal El Khannouss,36.3,€40.6M
Boubacar Kamara,37.15,€46.3M
Boubakary Soumaré,19.67,€15.4M
Brennan Johnson,61.35,€71.3M
Bruno Fernandes,60.22,€54.8M
Bruno Guimarães,76.39,€83.2M
Bryan Mbeumo,53.46,€57.2M
Bukayo Saka,85.22,€101.3M
Caleb Okoli,14.15,€16.7M
Callum Hudson-Odoi,33.51,€30.2M
Calvin Bassey,30.89,€29.9M
Cameron Archer,24.23,€18.6M
Cameron Burgess,6.18,€1.7M
Carlos Baleba,45.59,€52.4M
Carlos Soler,20.69,€23.4M
Casemiro,15.26,€11.6M
Chris Richards,17.28,€15.7M
Chris Wood,21.74,€7.8M
Christian Eriksen,18.29,€4.2M
Christian Nørgaard,21.31,€14.4M
Christopher Nkunku,50.15,€51.7M
Cody Gakpo,56.89,€67.5M
Cole Palmer,97.36,€115.4M
Conor Coady,6.51,€2.2M
Craig Dawson,5.89,€1.5M
Cristian Romero,53.83,€60.1M
Curtis Jones,52.07,€61.7M
Daichi Kamada,16.96,€14.6M
Dan Burn,23.63,€9.1M
Dango Ouattara,33.5,€28.5M
Daniel Muñoz,38.54,€30.9M
Danny Welbeck,21.4,€6M
Dara O'Shea,22.87,€19.5M
Darwin Núñez,50.53,€60.9M
David Raya,28.0,€28.9M
Dean Henderson,21.82,€22.7M
Dean Huijsen,51.55,€55M
Declan Rice,89.14,€107.8M
Dejan Kulusevski,60.85,€60.5M
Destiny Udogie,48.15,€59.4M
Diogo Dalot,37.0,€37.4M
Diogo Jota,55.4,€58.6M
Djed Spence,23.66,€19.8M
Dominic Calvert-Lewin,24.02,€17.8M
Dominic Solanke,48.66,€52.1M
Dominik Szoboszlai,66.59,€71.4M
Dwight McNeil,32.75,€27M
Eberechi Eze,59.55,€62.2M
Ederson,23.44,€19.1M
Edson Álvarez,31.88,€36.5M
Elliot Anderson,46.09,€46.5M
Emerson Palmieri,15.58,€12.6M
Emile Smith Rowe,39.57,€40.8M
Emiliano Martínez,21.7,€17.5M
