Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count
Aaron Cresswell,eng ENG,West Ham,DF,35-133,14.0,7.0,589.0,0.0,0.0,2.0,0.0,0.1,1.1,4.0,24.0,2.0,0.0,0.0,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.0,0.0,29.8,440.0,80.7,6769.0,90.8,85.9,7.0,40.0,4.0,1.0,24.0,12.0,1.83,0.0,0.0,8.0,4.0,8.0,6.0,7.0,4.0,3.0,6.0,495.0,33.0,196.0,236.0,68.0,1.0,1.0,100.0,0.0,200.0,388.0,4.0,7.0,0.0,3.0,0.0,312.0,2.0,3.0,1.0,0.0,27.0,21.0,7.0,53.8,72
Aaron Ramsdale,eng ENG,Southampton,GK,26-348,26.0,26.0,2340.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,N/a,0.0,N/a,N/a,1071.0,64.5,19426.0,99.5,96.0,0.0,32.0,1.0,0.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1154.0,835.0,1133.0,24.0,0.0,0.0,0.0,N/a,N/a,702.0,2089.0,0.0,0.0,0.0,2.0,0.0,629.0,0.0,1.0,4.0,0.0,0.0,19.0,5.0,100.0,71
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-152,32.0,31.0,2794.0,2.0,2.0,1.0,0.0,1.1,2.9,95.0,128.0,143.0,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.5,1575.0,81.1,18345.0,89.9,82.4,29.0,89.0,29.0,11.0,128.0,83.0,2.67,7.0,0.23,61.0,43.0,26.0,29.0,31.0,9.0,22.0,59.0,1959.0,136.0,618.0,839.0,531.0,40.0,100.0,54.0,35.0,928.0,3256.0,95.0,56.0,12.0,28.0,21.0,1134.0,143.0,22.0,24.0,4.0,64.0,155.0,22.0,43.1,72
Abdoulaye Doucouré,ml MLI,Everton,MF,32-116,30.0,29.0,2425.0,3.0,1.0,5.0,1.0,3.9,2.3,39.0,78.0,90.0,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,849.0,79.6,10229.0,85.1,83.1,26.0,44.0,14.0,0.0,78.0,54.0,2.0,2.0,0.07,45.0,27.0,39.0,43.0,30.0,6.0,24.0,9.0,1090.0,31.0,218.0,502.0,385.0,59.0,43.0,53.5,46.5,570.0,1324.0,39.0,23.0,8.0,33.0,35.0,704.0,90.0,46.0,5.0,10.0,23.0,139.0,29.0,40.3,72
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-057,6.0,6.0,503.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.9,395.0,91.1,6126.0,94.7,97.0,2.0,23.0,0.0,0.0,25.0,5.0,0.89,0.0,0.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,445.0,45.0,205.0,211.0,31.0,1.0,2.0,0.0,100.0,274.0,435.0,1.0,1.0,0.0,2.0,1.0,332.0,2.0,3.0,3.0,0.0,1.0,27.0,6.0,60.0,72
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-050,11.0,6.0,579.0,0.0,2.0,0.0,0.0,0.4,1.6,42.0,17.0,60.0,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.0,31.2,197.0,62.4,2150.0,72.8,76.3,6.0,7.0,7.0,2.0,17.0,17.0,2.64,3.0,0.47,21.0,15.0,19.0,13.0,7.0,0.0,7.0,4.0,326.0,19.0,73.0,114.0,157.0,26.0,69.0,42.0,40.6,217.0,1055.0,42.0,24.0,15.0,18.0,12.0,216.0,60.0,11.0,20.0,2.0,30.0,38.0,14.0,51.9,72
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-076,20.0,15.0,1248.0,2.0,2.0,4.0,0.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,288.0,80.2,3320.0,87.3,85.3,9.0,10.0,8.0,2.0,21.0,19.0,1.37,4.0,0.29,12.0,3.0,14.0,9.0,6.0,1.0,5.0,3.0,377.0,11.0,44.0,143.0,192.0,49.0,14.0,42.9,57.1,235.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,12.0,5.0,9.0,14.0,23.0,5.0,35.7,72
Adam Lallana,eng ENG,Southampton,MF,36-352,14.0,5.0,361.0,0.0,2.0,4.0,0.0,0.2,0.9,6.0,24.0,10.0,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.0,0.0,18.1,260.0,85.0,2891.0,89.1,91.0,4.0,21.0,9.0,3.0,24.0,9.0,2.24,2.0,0.5,8.0,5.0,12.0,2.0,4.0,1.0,3.0,5.0,318.0,19.0,91.0,155.0,73.0,6.0,12.0,41.7,41.7,178.0,366.0,6.0,8.0,0.0,10.0,6.0,245.0,10.0,8.0,8.0,0.0,4.0,19.0,2.0,50.0,72
Adam Smith,eng ENG,Bournemouth,DF,33-363,21.0,16.0,1319.0,0.0,0.0,5.0,0.0,0.7,0.2,12.0,39.0,31.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,548.0,75.7,6761.0,87.7,78.8,6.0,39.0,6.0,3.0,39.0,17.0,1.16,1.0,0.07,20.0,10.0,23.0,12.0,10.0,3.0,7.0,14.0,671.0,34.0,205.0,316.0,154.0,6.0,15.0,40.0,40.0,293.0,577.0,12.0,15.0,0.0,10.0,6.0,320.0,31.0,13.0,10.0,0.0,28.0,40.0,12.0,50.0,72
Adam Webster,eng ENG,Brighton,DF,30-113,11.0,8.0,617.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.0,15.3,501.0,85.6,7934.0,95.5,91.8,3.0,32.0,2.0,0.0,40.0,10.0,1.46,3.0,0.44,8.0,5.0,11.0,4.0,12.0,9.0,3.0,14.0,569.0,84.0,279.0,271.0,22.0,8.0,3.0,33.3,66.7,326.0,1142.0,7.0,2.0,0.0,3.0,1.0,384.0,2.0,5.0,2.0,1.0,1.0,20.0,17.0,81.0,72
